lambda_1, lambda_2, entropy
0.75, 0.60, 10.4557433653307
0.75, 0.65, 10.453615632282732
0.75, 0.70, 10.451799031368532
0.75, 0.75, 10.450377455455598
0.75, 0.80, 10.449467879079059
0.75, 0.85, 10.449250643971563
0.75, 0.90, 10.450050113612505
0.75, 0.95, 10.452653616701392
0.80, 0.05, 10.451370521700891
0.80, 0.10, 10.449509889293019
0.80, 0.15, 10.447307719245392
0.80, 0.20, 10.44488938661916
0.80, 0.25, 10.442337194177778
0.80, 0.30, 10.43971217028001
0.80, 0.35, 10.437063681485055
0.80, 0.40, 10.434434577199681
0.80, 0.45, 10.431864424342125
0.80, 0.50, 10.429391907574313
0.80, 0.55, 10.427056968247435
0.80, 0.60, 10.424903105229625
0.80, 0.65, 10.422980306657285
0.80, 0.70, 10.421349346154747
0.80, 0.75, 10.420088878242142
0.80, 0.80, 10.419308642454514
0.80, 0.85, 10.419177874429783
0.80, 0.90, 10.420000966742506
0.80, 0.95, 10.422516628025654
0.85, 0.05, 10.421355500194109
0.85, 0.10, 10.419668913739219
0.85, 0.15, 10.41767104404816
0.85, 0.20, 10.415476257921336
0.85, 0.25, 10.413159936317802
0.85, 0.30, 10.4107781836713
0.85, 0.35, 10.408376548759376
0.85, 0.40, 10.405994708744542
0.85, 0.45, 10.403669427769257
0.85, 0.50, 10.401436765662716
0.85, 0.55, 10.399334060024183
0.85, 0.60, 10.397402072155874
0.85, 0.65, 10.395687734313826
0.85, 0.70, 10.394248186793197
0.85, 0.75, 10.393157454672503
0.85, 0.80, 10.392518880163404
0.85, 0.85, 10.392491877829404
0.85, 0.90, 10.393363184315685
0.85, 0.95, 10.395828545137185
0.90, 0.05, 10.394828893022677
0.90, 0.10, 10.39334859152854
0.90, 0.15, 10.391583040580803
0.90, 0.20, 10.389637093946304
0.90, 0.25, 10.38758013117967
0.90, 0.30, 10.3854639745471
0.90, 0.35, 10.38333084250258
0.90, 0.40, 10.381217636312524
0.90, 0.45, 10.379158659694973
0.90, 0.50, 10.377187661014377
0.90, 0.55, 10.375339678207375
0.90, 0.60, 10.373653048429006
0.90, 0.65, 10.372171992147296
0.90, 0.70, 10.370950420277536
0.90, 0.75, 10.370058238757162
0.90, 0.80, 10.369593094313936
0.90, 0.85, 10.369705656268126
0.90, 0.90, 10.370666941449443
0.90, 0.95, 10.373134457793542
0.95, 0.05, 10.372401605448337
0.95, 0.10, 10.371226553130686
0.95, 0.15, 10.369788417737377
0.95, 0.20, 10.368183768783174
0.95, 0.25, 10.366476744312953
0.95, 0.30, 10.364715416753869
0.95, 0.35, 10.362939080521333
0.95, 0.40, 10.361182192947208
0.95, 0.45, 10.359476885404424
0.95, 0.50, 10.35785485959348
0.95, 0.55, 10.356349111618396
0.95, 0.60, 10.354995820858251
0.95, 0.65, 10.353836788766452
0.95, 0.70, 10.352923040597915
0.95, 0.75, 10.352320796986715
0.95, 0.80, 10.352122604962622
0.95, 0.85, 10.352471300224286
0.95, 0.90, 10.35362381733311
0.95, 0.95, 10.356203416503883
